Categorii de pomi fructiferi, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Pruni, Total, Harghita, Anul 2001, Numar, 404744
Pruni, Total, Harghita, Anul 2002, Numar, 412987
Pruni, Total, Harghita, Anul 2003, Numar, 377229
Pruni, Total, Harghita, Anul 2004, Numar, 374686
Pruni, Total, Harghita, Anul 2005, Numar, 395157
Pruni, Total, Harghita, Anul 2006, Numar, 273479
Pruni, Total, Harghita, Anul 2007, Numar, 196910
Pruni, Total, Harghita, Anul 2008, Numar, 198536
Pruni, Total, Harghita, Anul 2009, Numar, 198019
Pruni, Total, Harghita, Anul 2010, Numar, 197874
Pruni, Total, Harghita, Anul 2011, Numar, 192336
Pruni, Total, Harghita, Anul 2012, Numar, 194843
Pruni, Total, Harghita, Anul 2013, Numar, 194105
Pruni, Total, Harghita, Anul 2014, Numar, 192326
Pruni, Total, Harghita, Anul 2015, Numar, 146120
Pruni, Total, Harghita, Anul 2016, Numar, 143704
Pruni, Total, Harghita, Anul 2017, Numar, 142998
Pruni, Total, Harghita, Anul 2018, Numar, 143554
Pruni, Total, Harghita, Anul 2019, Numar, 144131
Pruni, Total, Harghita, Anul 2020, Numar, 143505
Pruni, Total, Harghita, Anul 2021, Numar, 146202
Pruni, Total, Harghita, Anul 2022, Numar, 145423
Pruni, Total, Harghita, Anul 2023, Numar, 142782
Pruni, Total, Harghita, Anul 2024, Numar, 143050
Pruni, Total, Mures, Anul 2000, Numar, 861191
Pruni, Total, Mures, Anul 2001, Numar, 876161
Pruni, Total, Mures, Anul 2002, Numar, 689221
Pruni, Total, Mures, Anul 2003, Numar, 678609
Pruni, Total, Mures, Anul 2004, Numar, 697890
Pruni, Total, Mures, Anul 2005, Numar, 700308
Pruni, Total, Mures, Anul 2006, Numar, 614456
Pruni, Total, Mures, Anul 2007, Numar, 563694
Pruni, Total, Mures, Anul 2008, Numar, 548234
Pruni, Total, Mures, Anul 2009, Numar, 528206
Pruni, Total, Mures, Anul 2010, Numar, 505604
Pruni, Total, Mures, Anul 2011, Numar, 507866
Pruni, Total, Mures, Anul 2012, Numar, 514631
Pruni, Total, Mures, Anul 2013, Numar, 542814
Pruni, Total, Mures, Anul 2014, Numar, 480641
Pruni, Total, Mures, Anul 2015, Numar, 481709
Pruni, Total, Mures, Anul 2016, Numar, 480256
Pruni, Total, Mures, Anul 2017, Numar, 472587
Pruni, Total, Mures, Anul 2018, Numar, 473361
Pruni, Total, Mures, Anul 2019, Numar, 470672
Pruni, Total, Mures, Anul 2020, Numar, 467980
Pruni, Total, Mures, Anul 2021, Numar, 489578
Pruni, Total, Mures, Anul 2022, Numar, 488030
Pruni, Total, Mures, Anul 2023, Numar, 526496
Pruni, Total, Mures, Anul 2024, Numar, 484153
Pruni, Total, Sibiu, Anul 2000, Numar, 527085
Pruni, Total, Sibiu, Anul 2001, Numar, 552013
Pruni, Total, Sibiu, Anul 2002, Numar, 550526
Pruni, Total, Sibiu, Anul 2003, Numar, 498159
Pruni, Total, Sibiu, Anul 2004, Numar, 496547
Pruni, Total, Sibiu, Anul 2005, Numar, 490749
