Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Tone, Valoare
Prune, Total, Harghita, Anul 2019, Tone, 2913
Prune, Total, Harghita, Anul 2020, Tone, 2579
Prune, Total, Harghita, Anul 2021, Tone, 2922
Prune, Total, Harghita, Anul 2022, Tone, 2433
Prune, Total, Harghita, Anul 2023, Tone, 2259
Prune, Total, Harghita, Anul 2024, Tone, 2145
Prune, Total, Mures, Anul 2000, Tone, 8172
Prune, Total, Mures, Anul 2001, Tone, 8997
Prune, Total, Mures, Anul 2002, Tone, 3796
Prune, Total, Mures, Anul 2003, Tone, 9060
Prune, Total, Mures, Anul 2004, Tone, 5255
Prune, Total, Mures, Anul 2005, Tone, 10617
Prune, Total, Mures, Anul 2006, Tone, 10216
Prune, Total, Mures, Anul 2007, Tone, 713
Prune, Total, Mures, Anul 2008, Tone, 9201
Prune, Total, Mures, Anul 2009, Tone, 8575
Prune, Total, Mures, Anul 2010, Tone, 8477
Prune, Total, Mures, Anul 2011, Tone, 5771
Prune, Total, Mures, Anul 2012, Tone, 3976
Prune, Total, Mures, Anul 2013, Tone, 5581
Prune, Total, Mures, Anul 2014, Tone, 5679
Prune, Total, Mures, Anul 2015, Tone, 5802
Prune, Total, Mures, Anul 2016, Tone, 7145
Prune, Total, Mures, Anul 2017, Tone, 6082
Prune, Total, Mures, Anul 2018, Tone, 12074
Prune, Total, Mures, Anul 2019, Tone, 10199
Prune, Total, Mures, Anul 2020, Tone, 9187
Prune, Total, Mures, Anul 2021, Tone, 10121
Prune, Total, Mures, Anul 2022, Tone, 8864
Prune, Total, Mures, Anul 2023, Tone, 9179
Prune, Total, Mures, Anul 2024, Tone, 8046
Prune, Total, Sibiu, Anul 2000, Tone, 4244
Prune, Total, Sibiu, Anul 2001, Tone, 5037
Prune, Total, Sibiu, Anul 2002, Tone, 1388
Prune, Total, Sibiu, Anul 2003, Tone, 6841
Prune, Total, Sibiu, Anul 2004, Tone, 3758
Prune, Total, Sibiu, Anul 2005, Tone, 7544
Prune, Total, Sibiu, Anul 2006, Tone, 6436
Prune, Total, Sibiu, Anul 2007, Tone, 820
Prune, Total, Sibiu, Anul 2008, Tone, 2216
Prune, Total, Sibiu, Anul 2009, Tone, 3918
Prune, Total, Sibiu, Anul 2010, Tone, 3796
Prune, Total, Sibiu, Anul 2011, Tone, 2481
Prune, Total, Sibiu, Anul 2012, Tone, 1681
Prune, Total, Sibiu, Anul 2013, Tone, 2947
Prune, Total, Sibiu, Anul 2014, Tone, 3068
Prune, Total, Sibiu, Anul 2015, Tone, 3029
Prune, Total, Sibiu, Anul 2016, Tone, 2945
Prune, Total, Sibiu, Anul 2017, Tone, 3739
Prune, Total, Sibiu, Anul 2018, Tone, 5051
Prune, Total, Sibiu, Anul 2019, Tone, 4642
Prune, Total, Sibiu, Anul 2020, Tone, 4164
Prune, Total, Sibiu, Anul 2021, Tone, 4174
Prune, Total, Sibiu, Anul 2022, Tone, 3570
Prune, Total, Sibiu, Anul 2023, Tone, 3489
Prune, Total, Sibiu, Anul 2024, Tone, 3421
Prune, Total, Bacau, Anul 2000, Tone, 13168
Prune, Total, Bacau, Anul 2001, Tone, 14373
Prune, Total, Bacau, Anul 2002, Tone, 7918
Prune, Total, Bacau, Anul 2003, Tone, 15894
Prune, Total, Bacau, Anul 2004, Tone, 8997
Prune, Total, Bacau, Anul 2005, Tone, 20211
Prune, Total, Bacau, Anul 2006, Tone, 14670
Prune, Total, Bacau, Anul 2007, Tone, 2885
Prune, Total, Bacau, Anul 2008, Tone, 5234
Prune, Total, Bacau, Anul 2009, Tone, 4545
Prune, Total, Bacau, Anul 2010, Tone, 4556
Prune, Total, Bacau, Anul 2011, Tone, 4393
Prune, Total, Bacau, Anul 2012, Tone, 2797
Prune, Total, Bacau, Anul 2013, Tone, 4239
Prune, Total, Bacau, Anul 2014, Tone, 4420
Prune, Total, Bacau, Anul 2015, Tone, 4182
Prune, Total, Bacau, Anul 2016, Tone, 4122
Prune, Total, Bacau, Anul 2017, Tone, 4185
Prune, Total, Bacau, Anul 2018, Tone, 9242
Prune, Total, Bacau, Anul 2019, Tone, 8302
Prune, Total, Bacau, Anul 2020, Tone, 8444
Prune, Total, Bacau, Anul 2021, Tone, 8523
Prune, Total, Bacau, Anul 2022, Tone, 7510
Prune, Total, Bacau, Anul 2023, Tone, 7343
Prune, Total, Bacau, Anul 2024, Tone, 7615
Prune, Total, Botosani, Anul 2000, Tone, 6321
Prune, Total, Botosani, Anul 2001, Tone, 8509
Prune, Total, Botosani, Anul 2002, Tone, 7104
Prune, Total, Botosani, Anul 2003, Tone, 8143
Prune, Total, Botosani, Anul 2004, Tone, 3781
Prune, Total, Botosani, Anul 2005, Tone, 19775
Prune, Total, Botosani, Anul 2006, Tone, 14581
Prune, Total, Botosani, Anul 2007, Tone, 1625
Prune, Total, Botosani, Anul 2008, Tone, 3923
Prune, Total, Botosani, Anul 2009, Tone, 5151
Prune, Total, Botosani, Anul 2010, Tone, 8094
Prune, Total, Botosani, Anul 2011, Tone, 7312
Prune, Total, Botosani, Anul 2012, Tone, 4611
Prune, Total, Botosani, Anul 2013, Tone, 6125
Prune, Total, Botosani, Anul 2014, Tone, 6876
Prune, Total, Botosani, Anul 2015, Tone, 7140
Prune, Total, Botosani, Anul 2016, Tone, 6249
Prune, Total, Botosani, Anul 2017, Tone, 6200
Prune, Total, Botosani, Anul 2018, Tone, 8789
Prune, Total, Botosani, Anul 2019, Tone, 8027
Prune, Total, Botosani, Anul 2020, Tone, 7544
Prune, Total, Botosani, Anul 2021, Tone, 7812
Prune, Total, Botosani, Anul 2022, Tone, 6413
Prune, Total, Botosani, Anul 2023, Tone, 6502
Prune, Total, Botosani, Anul 2024, Tone, 6203
Prune, Total, Iasi, Anul 2000, Tone, 11767
Prune, Total, Iasi, Anul 2001, Tone, 12493
Prune, Total, Iasi, Anul 2002, Tone, 11504
Prune, Total, Iasi, Anul 2003, Tone, 11630
Prune, Total, Iasi, Anul 2004, Tone, 14915
Prune, Total, Iasi, Anul 2005, Tone, 22404
Prune, Total, Iasi, Anul 2006, Tone, 13186
Prune, Total, Iasi, Anul 2007, Tone, 3492
Prune, Total, Iasi, Anul 2008, Tone, 6810
Prune, Total, Iasi, Anul 2009, Tone, 7885
Prune, Total, Iasi, Anul 2010, Tone, 13478
