Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Kg/ pom, Valoare
Prune, Total, Mures, Anul 2022, Kilograme, 18
Prune, Total, Mures, Anul 2023, Kilograme, 17
Prune, Total, Mures, Anul 2024, Kilograme, 17
Prune, Total, Sibiu, Anul 2000, Kilograme, 10
Prune, Total, Sibiu, Anul 2001, Kilograme, 12
Prune, Total, Sibiu, Anul 2002, Kilograme, 3
Prune, Total, Sibiu, Anul 2003, Kilograme, 14
Prune, Total, Sibiu, Anul 2004, Kilograme, 8
Prune, Total, Sibiu, Anul 2005, Kilograme, 15
Prune, Total, Sibiu, Anul 2006, Kilograme, 14
Prune, Total, Sibiu, Anul 2007, Kilograme, 2
Prune, Total, Sibiu, Anul 2008, Kilograme, 7
Prune, Total, Sibiu, Anul 2009, Kilograme, 12
Prune, Total, Sibiu, Anul 2010, Kilograme, 10
Prune, Total, Sibiu, Anul 2011, Kilograme, 8
Prune, Total, Sibiu, Anul 2012, Kilograme, 6
Prune, Total, Sibiu, Anul 2013, Kilograme, 9
Prune, Total, Sibiu, Anul 2014, Kilograme, 10
Prune, Total, Sibiu, Anul 2015, Kilograme, 11
Prune, Total, Sibiu, Anul 2016, Kilograme, 10
Prune, Total, Sibiu, Anul 2017, Kilograme, 13
Prune, Total, Sibiu, Anul 2018, Kilograme, 19
Prune, Total, Sibiu, Anul 2019, Kilograme, 17
Prune, Total, Sibiu, Anul 2020, Kilograme, 17
Prune, Total, Sibiu, Anul 2021, Kilograme, 18
Prune, Total, Sibiu, Anul 2022, Kilograme, 16
Prune, Total, Sibiu, Anul 2023, Kilograme, 12
Prune, Total, Sibiu, Anul 2024, Kilograme, 17
Prune, Total, Bacau, Anul 2000, Kilograme, 16
Prune, Total, Bacau, Anul 2001, Kilograme, 17
Prune, Total, Bacau, Anul 2002, Kilograme, 10
Prune, Total, Bacau, Anul 2003, Kilograme, 19
Prune, Total, Bacau, Anul 2004, Kilograme, 12
Prune, Total, Bacau, Anul 2005, Kilograme, 24
Prune, Total, Bacau, Anul 2006, Kilograme, 19
Prune, Total, Bacau, Anul 2007, Kilograme, 6
Prune, Total, Bacau, Anul 2008, Kilograme, 11
Prune, Total, Bacau, Anul 2009, Kilograme, 10
Prune, Total, Bacau, Anul 2010, Kilograme, 10
Prune, Total, Bacau, Anul 2011, Kilograme, 10
Prune, Total, Bacau, Anul 2012, Kilograme, 7
Prune, Total, Bacau, Anul 2013, Kilograme, 9
Prune, Total, Bacau, Anul 2014, Kilograme, 10
Prune, Total, Bacau, Anul 2015, Kilograme, 11
Prune, Total, Bacau, Anul 2016, Kilograme, 11
Prune, Total, Bacau, Anul 2017, Kilograme, 11
Prune, Total, Bacau, Anul 2018, Kilograme, 24
Prune, Total, Bacau, Anul 2019, Kilograme, 21
Prune, Total, Bacau, Anul 2020, Kilograme, 22
Prune, Total, Bacau, Anul 2021, Kilograme, 25
Prune, Total, Bacau, Anul 2022, Kilograme, 22
Prune, Total, Bacau, Anul 2023, Kilograme, 22
Prune, Total, Bacau, Anul 2024, Kilograme, 19
Prune, Total, Botosani, Anul 2000, Kilograme, 11
Prune, Total, Botosani, Anul 2001, Kilograme, 13
Prune, Total, Botosani, Anul 2002, Kilograme, 11
Prune, Total, Botosani, Anul 2003, Kilograme, 13
Prune, Total, Botosani, Anul 2004, Kilograme, 6
Prune, Total, Botosani, Anul 2005, Kilograme, 21
Prune, Total, Botosani, Anul 2006, Kilograme, 21
Prune, Total, Botosani, Anul 2007, Kilograme, 4
Prune, Total, Botosani, Anul 2008, Kilograme, 9
Prune, Total, Botosani, Anul 2009, Kilograme, 17
Prune, Total, Botosani, Anul 2010, Kilograme, 23
Prune, Total, Botosani, Anul 2011, Kilograme, 24
Prune, Total, Botosani, Anul 2012, Kilograme, 15
Prune, Total, Botosani, Anul 2013, Kilograme, 20
Prune, Total, Botosani, Anul 2014, Kilograme, 23
Prune, Total, Botosani, Anul 2015, Kilograme, 27
Prune, Total, Botosani, Anul 2016, Kilograme, 23
Prune, Total, Botosani, Anul 2017, Kilograme, 23
Prune, Total, Botosani, Anul 2018, Kilograme, 30
Prune, Total, Botosani, Anul 2019, Kilograme, 29
Prune, Total, Botosani, Anul 2020, Kilograme, 28
Prune, Total, Botosani, Anul 2021, Kilograme, 29
Prune, Total, Botosani, Anul 2022, Kilograme, 23
Prune, Total, Botosani, Anul 2023, Kilograme, 23
Prune, Total, Botosani, Anul 2024, Kilograme, 22
Prune, Total, Iasi, Anul 2000, Kilograme, 13
Prune, Total, Iasi, Anul 2001, Kilograme, 15
Prune, Total, Iasi, Anul 2002, Kilograme, 13
Prune, Total, Iasi, Anul 2003, Kilograme, 12
Prune, Total, Iasi, Anul 2004, Kilograme, 17
Prune, Total, Iasi, Anul 2005, Kilograme, 20
Prune, Total, Iasi, Anul 2006, Kilograme, 15
Prune, Total, Iasi, Anul 2007, Kilograme, 5
Prune, Total, Iasi, Anul 2008, Kilograme, 9
Prune, Total, Iasi, Anul 2009, Kilograme, 12
Prune, Total, Iasi, Anul 2010, Kilograme, 21
Prune, Total, Iasi, Anul 2011, Kilograme, 12
Prune, Total, Iasi, Anul 2012, Kilograme, 11
Prune, Total, Iasi, Anul 2013, Kilograme, 15
Prune, Total, Iasi, Anul 2014, Kilograme, 13
Prune, Total, Iasi, Anul 2015, Kilograme, 13
Prune, Total, Iasi, Anul 2016, Kilograme, 12
Prune, Total, Iasi, Anul 2017, Kilograme, 16
Prune, Total, Iasi, Anul 2018, Kilograme, 27
Prune, Total, Iasi, Anul 2019, Kilograme, 22
Prune, Total, Iasi, Anul 2020, Kilograme, 21
Prune, Total, Iasi, Anul 2021, Kilograme, 22
Prune, Total, Iasi, Anul 2022, Kilograme, 19
Prune, Total, Iasi, Anul 2023, Kilograme, 19
Prune, Total, Iasi, Anul 2024, Kilograme, 18
Prune, Total, Neamt, Anul 2000, Kilograme, 14
Prune, Total, Neamt, Anul 2001, Kilograme, 15
Prune, Total, Neamt, Anul 2002, Kilograme, 14
Prune, Total, Neamt, Anul 2003, Kilograme, 13
Prune, Total, Neamt, Anul 2004, Kilograme, 10
Prune, Total, Neamt, Anul 2005, Kilograme, 16
Prune, Total, Neamt, Anul 2006, Kilograme, 18
Prune, Total, Neamt, Anul 2007, Kilograme, 6
Prune, Total, Neamt, Anul 2008, Kilograme, 13
Prune, Total, Neamt, Anul 2009, Kilograme, 20
Prune, Total, Neamt, Anul 2010, Kilograme, 16
Prune, Total, Neamt, Anul 2011, Kilograme, 13
Prune, Total, Neamt, Anul 2012, Kilograme, 9
Prune, Total, Neamt, Anul 2013, Kilograme, 11
Prune, Total, Neamt, Anul 2014, Kilograme, 17
Prune, Total, Neamt, Anul 2015, Kilograme, 14
Prune, Total, Neamt, Anul 2016, Kilograme, 15
Prune, Total, Neamt, Anul 2017, Kilograme, 18
Prune, Total, Neamt, Anul 2018, Kilograme, 35
Prune, Total, Neamt, Anul 2019, Kilograme, 31
Prune, Total, Neamt, Anul 2020, Kilograme, 31
Prune, Total, Neamt, Anul 2021, Kilograme, 31
Prune, Total, Neamt, Anul 2022, Kilograme, 26
Prune, Total, Neamt, Anul 2023, Kilograme, 26
Prune, Total, Neamt, Anul 2024, Kilograme, 25
Prune, Total, Suceava, Anul 2000, Kilograme, 13
Prune, Total, Suceava, Anul 2001, Kilograme, 15
Prune, Total, Suceava, Anul 2002, Kilograme, 11
Prune, Total, Suceava, Anul 2003, Kilograme, 10
Prune, Total, Suceava, Anul 2004, Kilograme, 8
Prune, Total, Suceava, Anul 2005, Kilograme, 13
Prune, Total, Suceava, Anul 2006, Kilograme, 17
Prune, Total, Suceava, Anul 2007, Kilograme, 13
Prune, Total, Suceava, Anul 2008, Kilograme, 14
Prune, Total, Suceava, Anul 2009, Kilograme, 14
Prune, Total, Suceava, Anul 2010, Kilograme, 14
Prune, Total, Suceava, Anul 2011, Kilograme, 14
Prune, Total, Suceava, Anul 2012, Kilograme, 11
Prune, Total, Suceava, Anul 2013, Kilograme, 12
