PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,regiune
WS2M_MAX,2018,6.57,5.75,6.85,6.92,5.12,4.63,3.83,2.83,5.79,6.76,4.43,5.38,6.92,centru
WS2M_MAX,2019,6.05,6.2,7.44,6.65,4.96,4.64,4.42,4.06,5.95,4.19,5.56,4.41,7.44,centru
WS2M_MAX,2020,7.26,9.46,6.76,5.68,6.22,4.41,6.09,5.46,5.38,4.71,2.72,5.03,9.46,centru
WS2M_MAX,2021,8.06,6.64,5.94,4.91,7.1,5.66,4.45,5.04,6.24,4.5,6.19,6.64,8.06,centru
WS2M_MAX,2022,8.5,6.09,5.77,6.17,5.47,6.27,5.06,3.75,7.1,6.18,5.37,5.61,8.5,centru
WS2M_MAX,2023,6.8,8.02,7.52,5.51,4.21,3.74,5.7,5.4,3.99,6.92,6.9,6.61,8.02,centru
WS2M_MAX,2024,6.65,9.12,6.45,8.21,5.17,3.94,4.68,4.29,4.87,4.34,7.65,6.0,9.12,centru
WS2M_MAX,2025,5.92,3.56,7.9,8.16,6.94,5.66,5.48,4.87,4.47,6.88,4.69,7.11,8.16,centru
WS2M_MIN,1984,0.09,0.08,0.06,0.06,0.09,0.31,0.06,0.01,0.11,0.03,0.03,0.07,0.01,centru
WS2M_MIN,1985,0.1,0.21,0.28,0.15,0.04,0.09,0.04,0.07,0.04,0.05,0.11,0.09,0.04,centru
WS2M_MIN,1986,0.06,0.26,0.06,0.14,0.08,0.0,0.06,0.06,0.09,0.07,0.03,0.06,0.0,centru
WS2M_MIN,1987,0.0,0.07,0.09,0.08,0.02,0.0,0.03,0.11,0.03,0.25,0.04,0.08,0.0,centru
WS2M_MIN,1988,0.05,0.11,0.07,0.03,0.01,0.04,0.13,0.01,0.03,0.08,0.06,0.05,0.01,centru
WS2M_MIN,1989,0.05,0.01,0.15,0.12,0.1,0.12,0.14,0.06,0.08,0.06,0.05,0.08,0.01,centru
WS2M_MIN,1990,0.03,0.1,0.12,0.11,0.06,0.15,0.04,0.04,0.07,0.1,0.12,0.09,0.03,centru
WS2M_MIN,1991,0.06,0.07,0.09,0.1,0.01,0.09,0.07,0.06,0.04,0.04,0.1,0.08,0.01,centru
WS2M_MIN,1992,0.07,0.05,0.07,0.1,0.16,0.11,0.08,0.09,0.03,0.13,0.24,0.04,0.03,centru
WS2M_MIN,1993,0.1,0.16,0.06,0.07,0.03,0.06,0.04,0.09,0.06,0.03,0.12,0.04,0.03,centru
WS2M_MIN,1994,0.19,0.11,0.16,0.18,0.02,0.06,0.03,0.1,0.12,0.04,0.06,0.05,0.02,centru
WS2M_MIN,1995,0.06,0.07,0.1,0.05,0.13,0.04,0.12,0.08,0.07,0.07,0.03,0.08,0.03,centru
WS2M_MIN,1996,0.08,0.1,0.06,0.03,0.07,0.06,0.02,0.04,0.16,0.06,0.15,0.05,0.02,centru
WS2M_MIN,1997,0.05,0.05,0.12,0.07,0.07,0.1,0.18,0.08,0.03,0.17,0.29,0.04,0.03,centru
WS2M_MIN,1998,0.04,0.04,0.24,0.04,0.04,0.15,0.11,0.07,0.04,0.01,0.17,0.04,0.01,centru
WS2M_MIN,1999,0.04,0.32,0.09,0.1,0.09,0.01,0.07,0.08,0.08,0.13,0.02,0.08,0.01,centru
WS2M_MIN,2000,0.09,0.04,0.11,0.12,0.05,0.05,0.2,0.09,0.08,0.04,0.04,0.05,0.04,centru
WS2M_MIN,2001,0.09,0.11,0.11,0.08,0.18,0.09,0.03,0.11,0.18,0.09,0.04,0.06,0.03,centru
WS2M_MIN,2002,0.1,0.09,0.21,0.09,0.11,0.04,0.06,0.09,0.05,0.09,0.04,0.09,0.04,centru
WS2M_MIN,2003,0.01,0.04,0.07,0.24,0.2,0.04,0.06,0.08,0.08,0.03,0.11,0.09,0.01,centru
WS2M_MIN,2004,0.03,0.3,0.24,0.02,0.18,0.08,0.14,0.06,0.0,0.08,0.12,0.04,0.0,centru
WS2M_MIN,2005,0.14,0.08,0.06,0.14,0.06,0.14,0.07,0.13,0.04,0.01,0.03,0.04,0.01,centru
WS2M_MIN,2006,0.01,0.03,0.13,0.07,0.07,0.13,0.06,0.01,0.18,0.01,0.09,0.06,0.01,centru
WS2M_MIN,2007,0.3,0.19,0.11,0.06,0.08,0.11,0.02,0.06,0.06,0.02,0.1,0.06,0.02,centru
WS2M_MIN,2008,0.04,0.06,0.02,0.07,0.15,0.13,0.09,0.05,0.08,0.07,0.07,0.03,0.02,centru
WS2M_MIN,2009,0.18,0.07,0.06,0.13,0.07,0.19,0.03,0.05,0.03,0.02,0.06,0.08,0.02,centru
WS2M_MIN,2010,0.02,0.01,0.08,0.06,0.05,0.09,0.05,0.2,0.05,0.17,0.25,0.09,0.01,centru
WS2M_MIN,2011,0.02,0.03,0.06,0.04,0.07,0.09,0.04,0.08,0.09,0.12,0.05,0.07,0.02,centru
WS2M_MIN,2012,0.09,0.01,0.04,0.06,0.03,0.04,0.0,0.03,0.07,0.07,0.07,0.02,0.0,centru
WS2M_MIN,2013,0.1,0.13,0.14,0.03,0.04,0.01,0.04,0.03,0.07,0.11,0.01,0.09,0.01,centru
WS2M_MIN,2014,0.05,0.03,0.1,0.09,0.13,0.12,0.04,0.01,0.17,0.04,0.08,0.1,0.01,centru
WS2M_MIN,2015,0.09,0.12,0.06,0.13,0.01,0.07,0.1,0.02,0.07,0.1,0.07,0.06,0.01,centru
WS2M_MIN,2016,0.07,0.17,0.09,0.1,0.08,0.09,0.06,0.12,0.05,0.14,0.13,0.01,0.01,centru
WS2M_MIN,2017,0.12,0.24,0.06,0.26,0.05,0.14,0.03,0.07,0.12,0.18,0.08,0.16,0.03,centru
WS2M_MIN,2018,0.02,0.04,0.09,0.16,0.03,0.09,0.08,0.02,0.04,0.2,0.2,0.08,0.02,centru
WS2M_MIN,2019,0.04,0.13,0.04,0.07,0.14,0.12,0.04,0.09,0.08,0.01,0.16,0.04,0.01,centru
WS2M_MIN,2020,0.09,0.17,0.05,0.06,0.13,0.13,0.05,0.05,0.03,0.04,0.05,0.05,0.03,centru
WS2M_MIN,2021,0.08,0.1,0.13,0.09,0.04,0.06,0.11,0.06,0.02,0.08,0.01,0.04,0.01,centru
WS2M_MIN,2022,0.08,0.07,0.05,0.04,0.07,0.09,0.07,0.03,0.13,0.02,0.03,0.12,0.02,centru
WS2M_MIN,2023,0.15,0.1,0.1,0.12,0.03,0.04,0.1,0.09,0.13,0.08,0.03,0.01,0.01,centru
WS2M_MIN,2024,0.13,0.19,0.16,0.15,0.02,0.06,0.02,0.07,0.07,0.12,0.04,0.01,0.01,centru
WS2M_MIN,2025,0.05,0.06,0.04,0.14,0.07,0.02,0.05,0.05,0.11,0.11,0.09,0.02,0.02,centru
ALLSKY_SFC_LW_DWN,1984,23.67,21.9,23.12,26.42,29.67,30.87,32.63,31.71,31.22,28.8,24.55,22.63,27.28,est
ALLSKY_SFC_LW_DWN,1985,19.56,18.75,22.83,27.45,30.69,31.05,32.6,32.19,30.11,26.28,24.3,24.52,26.74,est
ALLSKY_SFC_LW_DWN,1986,23.04,20.37,24.11,27.92,29.29,32.4,33.01,32.65,30.71,26.61,23.52,22.74,27.24,est
ALLSKY_SFC_LW_DWN,1987,20.68,22.23,20.98,26.28,30.35,32.72,33.44,33.09,30.96,27.17,25.28,22.09,27.13,est
ALLSKY_SFC_LW_DWN,1988,23.24,22.66,23.81,26.96,30.29,32.07,33.99,32.52,30.08,25.77,21.8,22.62,27.17,est
ALLSKY_SFC_LW_DWN,1989,23.27,23.55,25.08,27.79,29.15,31.29,30.93,32.41,29.28,27.12,23.78,23.82,27.31,est
ALLSKY_SFC_LW_DWN,1990,22.79,24.18,25.41,27.8,28.55,31.05,31.48,30.99,29.22,26.55,25.38,23.05,27.22,est
ALLSKY_SFC_LW_DWN,1991,23.24,22.15,24.87,27.23,29.18,32.38,33.09,31.43,28.6,27.89,24.29,22.3,27.25,est
ALLSKY_SFC_LW_DWN,1992,22.46,22.26,24.06,27.56,28.08,31.74,31.12,32.26,28.15,27.58,24.92,21.79,26.84,est
ALLSKY_SFC_LW_DWN,1993,23.22,21.98,23.17,26.33,29.5,30.48,32.02,31.67,29.13,28.41,21.8,23.97,26.84,est
ALLSKY_SFC_LW_DWN,1994,24.45,23.86,24.81,27.23,30.06,30.88,32.26,31.4,30.34,26.5,24.72,22.92,27.47,est
ALLSKY_SFC_LW_DWN,1995,22.25,24.34,25.29,27.57,29.19,31.97,31.42,32.25,29.01,25.99,22.87,22.2,27.04,est
ALLSKY_SFC_LW_DWN,1996,21.89,21.17,21.44,26.2,30.35,30.68,31.25,31.81,29.32,27.07,26.33,24.1,26.82,est
ALLSKY_SFC_LW_DWN,1997,22.03,22.98,23.4,25.38,29.46,31.19,31.67,31.59,27.72,25.91,24.57,23.33,26.63,est
ALLSKY_SFC_LW_DWN,1998,23.83,24.55,23.28,27.9,30.35,31.64,32.27,30.74,28.84,27.19,23.08,21.74,27.13,est
ALLSKY_SFC_LW_DWN,1999,23.43,22.74,25.17,27.69,28.25,31.48,32.1,31.99,29.66,28.06,24.33,23.9,27.43,est
ALLSKY_SFC_LW_DWN,2000,21.5,23.44,24.42,28.7,27.91,31.05,31.78,31.58,29.38,26.67,26.1,24.81,27.28,est
ALLSKY_SFC_LW_DWN,2001,23.15,23.59,25.62,25.96,28.78,31.16,32.65,32.32,29.99,26.9,24.25,21.16,27.15,est
ALLSKY_SFC_LW_DWN,2002,22.28,23.71,24.16,27.35,29.13,31.37,33.48,31.59,30.24,26.86,25.75,22.23,27.36,est
ALLSKY_SFC_LW_DWN,2003,23.18,21.53,23.67,25.72,29.81,31.49,32.65,31.67,28.52,26.48,25.85,23.12,27.01,est
ALLSKY_SFC_LW_DWN,2004,22.77,23.43,25.04,25.82,28.86,30.7,32.17,31.26,29.35,26.89,25.61,23.77,27.15,est
ALLSKY_SFC_LW_DWN,2005,23.03,22.89,23.2,26.6,29.41,30.25,32.07,32.28,29.21,26.76,25.1,23.52,27.05,est
ALLSKY_SFC_LW_DWN,2006,21.56,22.5,24.49,27.5,28.89,31.44,31.86,31.56,29.31,26.68,25.28,24.09,27.12,est
ALLSKY_SFC_LW_DWN,2007,23.84,24.34,24.57,26.48,29.61,31.42,32.02,32.5,28.52,27.06,24.03,23.72,27.36,est
ALLSKY_SFC_LW_DWN,2008,23.12,23.76,24.85,27.68,29.09,31.28,31.79,31.51,29.2,26.75,24.63,24.0,27.32,est
ALLSKY_SFC_LW_DWN,2009,22.79,23.57,24.38,25.67,29.23,30.84,31.73,31.45,28.97,27.78,25.57,23.46,27.14,est
ALLSKY_SFC_LW_DWN,2010,22.13,23.09,23.71,26.75,29.75,31.78,32.54,32.33,29.5,25.72,25.69,23.15,27.2,est
ALLSKY_SFC_LW_DWN,2011,22.9,21.75,23.61,26.32,29.11,31.03,32.13,30.48,29.28,25.37,23.3,23.83,26.62,est
ALLSKY_SFC_LW_DWN,2012,21.73,20.4,23.49,27.25,30.37,31.12,32.54,31.64,29.17,27.17,25.16,22.46,26.9,est
ALLSKY_SFC_LW_DWN,2013,22.38,23.58,23.88,26.94,29.48,31.7,31.19,31.62,28.92,27.06,25.63,22.58,27.1,est
ALLSKY_SFC_LW_DWN,2014,23.08,24.37,24.95,27.48,28.92,30.76,32.3,31.51,28.57,26.42,24.94,23.43,27.24,est
ALLSKY_SFC_LW_DWN,2015,23.23,22.76,24.4,25.88,28.98,30.41,32.6,31.85,30.75,26.48,24.97,22.62,27.1,est
ALLSKY_SFC_LW_DWN,2016,22.34,24.31,25.11,27.2,29.12,31.62,31.74,31.41,29.49,26.67,24.48,22.3,27.15,est
ALLSKY_SFC_LW_DWN,2017,20.85,23.31,25.48,25.96,28.65,31.18,31.59,31.38,29.03,26.27,25.68,23.62,26.94,est
ALLSKY_SFC_LW_DWN,2018,23.01,23.71,24.36,27.25,29.22,32.12,32.6,31.5,29.32,26.11,25.08,23.43,27.33,est
ALLSKY_SFC_LW_DWN,2019,22.58,22.89,24.06,26.77,29.87,32.01,31.58,31.34,28.68,27.21,26.57,23.69,27.29,est
ALLSKY_SFC_LW_DWN,2020,22.09,23.54,24.99,24.51,29.21,31.89,32.18,31.27,29.3,28.31,24.44,24.38,27.19,est
ALLSKY_SFC_LW_DWN,2021,23.09,23.52,23.63,26.07,29.0,31.48,32.55,31.77,28.72,25.05,24.69,24.13,27.0,est
ALLSKY_SFC_LW_DWN,2022,22.44,23.08,22.87,26.52,28.46,31.22,32.03,32.7,29.64,26.61,25.64,23.61,27.09,est
ALLSKY_SFC_LW_DWN,2023,24.57,23.33,24.32,26.83,28.67,31.21,32.55,32.21,29.57,27.07,24.96,23.21,27.4,est
ALLSKY_SFC_LW_DWN,2024,22.4,24.76,25.36,27.23,28.41,31.91,32.72,32.64,29.67,26.22,23.49,23.99,27.41,est
ALLSKY_SFC_LW_DWN,2025,23.15,21.87,25.16,26.61,28.66,30.78,32.31,30.51,29.07,26.36,26.15,24.25,27.11,est
ALLSKY_SFC_PAR_TOT,1984,2.45,4.06,5.56,6.49,8.45,9.43,8.2,8.07,6.58,4.09,2.65,1.99,5.67,est
ALLSKY_SFC_PAR_TOT,1985,2.83,4.24,6.33,6.96,9.15,8.71,10.02,8.52,6.56,4.26,2.76,1.89,6.03,est
ALLSKY_SFC_PAR_TOT,1986,2.28,4.19,6.03,7.87,9.86,8.88,8.44,8.58,6.69,3.97,2.55,2.06,5.96,est
ALLSKY_SFC_PAR_TOT,1987,2.59,4.22,6.09,6.49,7.17,9.63,9.62,7.24,6.55,3.52,2.1,2.16,5.62,est
ALLSKY_SFC_PAR_TOT,1988,2.3,4.16,5.15,6.29,8.62,9.1,9.79,9.01,5.3,4.4,2.74,1.98,5.74,est
ALLSKY_SFC_PAR_TOT,1989,2.65,3.84,5.53,6.82,8.98,8.41,10.22,8.2,5.31,3.93,2.38,1.98,5.7,est
ALLSKY_SFC_PAR_TOT,1990,2.48,4.0,6.06,7.32,9.61,9.76,9.93,9.12,5.85,4.28,2.45,1.82,6.07,est
ALLSKY_SFC_PAR_TOT,1991,2.22,3.87,4.41,6.29,6.83,8.93,9.09,8.1,6.56,3.95,2.54,2.16,5.42,est
ALLSKY_SFC_PAR_TOT,1992,2.66,4.22,5.26,6.81,9.14,8.33,10.24,9.34,6.72,3.57,2.36,2.48,5.94,est
ALLSKY_SFC_PAR_TOT,1993,2.86,3.84,5.29,6.38,8.91,9.8,9.95,8.36,6.11,3.67,2.9,1.84,5.84,est
ALLSKY_SFC_PAR_TOT,1994,2.38,3.68,5.44,7.83,9.81,10.58,10.17,8.54,7.49,4.07,2.8,2.08,6.25,est
ALLSKY_SFC_PAR_TOT,1995,2.59,3.84,4.48,6.99,8.47,9.8,10.55,8.06,5.93,4.35,2.76,2.02,5.83,est
ALLSKY_SFC_PAR_TOT,1996,2.97,4.29,6.46,7.96,10.0,10.8,10.17,7.4,4.4,4.0,2.4,1.52,6.04,est
ALLSKY_SFC_PAR_TOT,1997,3.0,4.31,6.1,7.31,10.14,9.86,8.88,7.1,6.25,4.12,2.71,1.91,5.98,est
ALLSKY_SFC_PAR_TOT,1998,2.43,4.16,5.72,8.0,9.12,9.52,9.94,9.19,6.06,3.8,2.59,2.4,6.09,est
ALLSKY_SFC_PAR_TOT,1999,2.57,4.12,5.8,7.16,9.29,10.75,10.7,8.54,6.23,3.72,2.63,1.87,6.13,est
ALLSKY_SFC_PAR_TOT,2000,2.83,3.98,5.97,7.32,11.05,9.97,10.19,9.39,5.14,4.18,2.12,1.72,6.17,est
ALLSKY_SFC_PAR_TOT,2001,1.9,2.91,4.42,7.17,9.2,7.97,10.16,8.59,5.39,4.31,2.12,1.87,5.52,est
ALLSKY_SFC_PAR_TOT,2002,2.69,3.53,5.29,6.08,9.73,9.14,8.74,7.46,4.88,3.67,2.02,1.52,5.41,est
ALLSKY_SFC_PAR_TOT,2003,1.65,3.67,5.44,6.85,10.53,10.06,8.48,8.91,6.03,3.55,2.0,1.71,5.75,est
ALLSKY_SFC_PAR_TOT,2004,1.79,3.18,4.61,7.44,8.09,9.49,8.85,8.22,6.14,4.32,2.02,1.67,5.49,est
ALLSKY_SFC_PAR_TOT,2005,1.96,3.0,5.38,6.47,9.15,8.86,9.01,7.51,6.33,4.09,2.02,1.48,5.45,est
ALLSKY_SFC_PAR_TOT,2006,2.15,3.68,5.32,6.4,8.21,9.34,9.95,8.44,6.53,4.6,2.33,1.74,5.74,est
ALLSKY_SFC_PAR_TOT,2007,1.96,2.83,5.51,7.26,9.61,10.57,10.66,7.74,6.27,3.83,2.13,1.37,5.83,est
ALLSKY_SFC_PAR_TOT,2008,2.12,3.2,5.14,6.13,8.79,10.03,9.54,9.47,5.6,4.2,2.32,1.42,5.67,est
ALLSKY_SFC_PAR_TOT,2009,1.86,2.65,4.63,8.02,9.36,9.89,10.6,8.46,6.58,3.63,2.12,1.3,5.77,est
ALLSKY_SFC_PAR_TOT,2010,1.88,3.39,5.16,6.68,8.43,8.58,9.94,8.96,5.69,3.47,2.45,1.54,5.53,est
ALLSKY_SFC_PAR_TOT,2011,1.84,3.17,5.49,6.78,9.01,9.61,9.68,9.76,7.1,4.3,2.31,1.53,5.9,est
ALLSKY_SFC_PAR_TOT,2012,1.98,3.97,6.08,6.98,8.25,11.52,11.25,8.91,7.25,4.09,2.31,1.51,6.18,est
ALLSKY_SFC_PAR_TOT,2013,2.28,3.06,4.6,7.31,9.59,9.52,10.11,8.83,5.84,3.83,2.38,1.71,5.77,est
ALLSKY_SFC_PAR_TOT,2014,1.58,2.95,5.24,6.09,8.7,9.24,9.5,9.05,7.11,3.94,1.97,1.39,5.58,est
ALLSKY_SFC_PAR_TOT,2015,1.91,3.08,4.64,7.06,9.42,10.58,10.27,8.77,6.09,3.86,2.37,1.98,5.85,est
ALLSKY_SFC_PAR_TOT,2016,1.86,3.06,4.71,7.47,8.17,9.66,10.67,8.98,6.6,3.09,2.07,1.77,5.68,est
ALLSKY_SFC_PAR_TOT,2017,2.23,3.45,4.92,7.08,9.19,10.48,9.98,9.44,6.73,3.93,1.84,1.5,5.91,est
ALLSKY_SFC_PAR_TOT,2018,2.03,2.94,4.67,8.33,9.77,8.94,8.62,9.89,6.32,4.95,1.97,1.54,5.85,est
ALLSKY_SFC_PAR_TOT,2019,1.9,3.44,5.83,6.51,8.03,10.58,9.72,9.24,6.88,4.3,2.12,1.72,5.87,est
ALLSKY_SFC_PAR_TOT,2020,2.29,3.4,5.35,8.81,7.76,9.57,9.93,9.58,7.12,3.59,2.27,1.16,5.91,est
ALLSKY_SFC_PAR_TOT,2021,1.7,3.19,4.85,6.41,8.38,8.72,10.26,8.92,6.19,4.54,2.52,1.27,5.59,est
ALLSKY_SFC_PAR_TOT,2022,2.09,3.33,5.34,6.45,9.69,10.32,9.66,8.2,5.67,4.68,2.16,1.67,5.79,est
ALLSKY_SFC_PAR_TOT,2023,1.63,3.14,5.16,5.35,8.88,9.31,10.01,9.14,7.08,4.62,2.32,1.65,5.71,est
ALLSKY_SFC_PAR_TOT,2024,2.1,3.13,4.84,7.43,9.22,10.74,10.57,8.6,6.19,4.62,2.55,1.32,5.95,est
ALLSKY_SFC_PAR_TOT,2025,2.35,3.37,4.85,7.49,7.5,10.98,10.17,9.66,6.72,3.48,2.01,1.5,5.85,est
ALLSKY_SFC_SW_DWN,1984,4.45,7.73,11.26,12.92,17.4,20.05,17.29,17.19,13.91,9.04,5.5,3.69,11.71,est
ALLSKY_SFC_SW_DWN,1985,5.51,8.65,12.96,13.92,18.78,18.41,21.48,18.23,13.92,9.41,5.7,3.5,12.57,est
ALLSKY_SFC_SW_DWN,1986,4.18,8.18,12.1,15.79,20.76,18.74,17.99,18.48,14.31,8.84,5.39,3.87,12.41,est
ALLSKY_SFC_SW_DWN,1987,4.81,8.18,12.5,13.0,14.61,20.16,20.62,15.35,13.99,7.92,4.45,4.12,11.66,est
ALLSKY_SFC_SW_DWN,1988,4.09,7.92,10.17,12.43,17.77,19.11,20.8,19.27,11.43,9.92,5.95,3.73,11.9,est
ALLSKY_SFC_SW_DWN,1989,4.9,7.57,10.98,13.75,18.94,17.89,21.94,17.82,11.57,8.79,5.15,3.82,11.96,est
ALLSKY_SFC_SW_DWN,1990,4.56,7.87,12.23,14.58,20.37,20.72,21.34,19.88,12.65,9.62,5.16,3.51,12.74,est
ALLSKY_SFC_SW_DWN,1991,4.03,7.57,8.52,12.5,14.11,18.69,19.17,17.36,14.31,8.75,5.46,4.11,11.23,est
ALLSKY_SFC_SW_DWN,1992,4.94,8.3,10.43,13.7,19.41,17.73,22.06,20.3,14.86,7.97,4.97,4.78,12.47,est
ALLSKY_SFC_SW_DWN,1993,5.31,7.53,10.42,12.78,18.8,20.97,21.38,18.25,13.21,8.15,6.29,3.5,12.24,est
ALLSKY_SFC_SW_DWN,1994,4.33,6.81,10.83,16.05,20.51,22.48,21.86,18.44,15.96,9.07,5.95,3.9,13.04,est
ALLSKY_SFC_SW_DWN,1995,4.79,7.34,8.75,13.91,17.54,20.78,22.72,17.33,12.8,9.75,5.91,3.87,12.15,est
ALLSKY_SFC_SW_DWN,1996,5.56,8.26,13.12,16.18,20.91,23.11,21.93,15.93,9.57,8.92,5.08,2.8,12.63,est
ALLSKY_SFC_SW_DWN,1997,5.72,8.43,12.42,14.85,21.38,20.99,19.21,15.46,13.66,9.25,5.83,3.63,12.59,est
ALLSKY_SFC_SW_DWN,1998,4.47,7.95,11.36,16.08,19.26,20.25,21.28,19.93,13.31,8.6,5.6,4.57,12.75,est
ALLSKY_SFC_SW_DWN,1999,4.69,7.91,11.55,14.68,19.77,23.03,23.06,18.45,13.43,8.25,5.67,3.52,12.86,est
ALLSKY_SFC_SW_DWN,2000,5.34,7.62,11.84,14.59,23.66,21.36,21.9,20.53,11.2,9.35,4.51,3.19,12.95,est
ALLSKY_SFC_SW_DWN,2001,4.55,6.87,10.11,16.54,21.01,17.82,22.57,19.27,11.97,9.75,4.93,4.24,12.51,est
ALLSKY_SFC_SW_DWN,2002,5.81,8.17,12.28,13.91,22.05,20.41,19.39,16.81,11.17,8.35,4.63,3.81,12.26,est
ALLSKY_SFC_SW_DWN,2003,3.82,8.12,12.25,15.91,23.71,22.65,18.85,20.1,13.63,8.09,4.56,4.05,13.01,est
ALLSKY_SFC_SW_DWN,2004,4.04,7.37,10.7,17.19,18.36,21.22,19.55,18.2,13.75,9.83,4.7,3.95,12.41,est
ALLSKY_SFC_SW_DWN,2005,4.69,6.84,12.65,14.89,20.56,19.77,19.81,16.55,14.16,9.3,4.68,3.53,12.32,est
ALLSKY_SFC_SW_DWN,2006,5.02,8.34,11.71,14.57,18.59,20.81,22.12,18.66,14.62,10.43,5.44,4.09,12.89,est
ALLSKY_SFC_SW_DWN,2007,4.62,6.67,12.85,16.87,21.62,23.61,23.97,17.11,14.08,8.68,4.98,3.36,13.24,est
ALLSKY_SFC_SW_DWN,2008,4.9,7.49,11.92,13.86,19.87,22.38,21.21,21.14,12.54,9.54,5.37,3.43,12.83,est
ALLSKY_SFC_SW_DWN,2009,4.33,6.27,10.78,18.71,21.16,22.01,23.54,18.92,14.85,8.21,4.86,3.11,13.1,est
ALLSKY_SFC_SW_DWN,2010,4.39,7.46,12.01,15.34,18.85,18.91,21.88,19.83,12.65,7.98,5.58,3.79,12.42,est
ALLSKY_SFC_SW_DWN,2011,4.39,7.43,12.64,15.59,20.33,21.34,21.49,21.71,15.96,9.93,5.45,3.6,13.36,est
ALLSKY_SFC_SW_DWN,2012,4.78,9.0,13.85,15.83,18.39,25.53,24.98,19.87,16.32,9.26,5.33,3.47,13.89,est
ALLSKY_SFC_SW_DWN,2013,4.94,6.68,10.53,16.63,21.54,20.97,22.61,19.67,13.15,8.66,5.46,4.06,12.95,est
ALLSKY_SFC_SW_DWN,2014,3.7,6.73,12.03,13.71,19.51,20.59,20.96,20.11,16.05,8.95,4.5,3.31,12.55,est
ALLSKY_SFC_SW_DWN,2015,4.48,7.26,10.72,16.24,21.21,23.68,22.89,19.55,13.53,8.77,5.45,4.68,13.24,est
ALLSKY_SFC_SW_DWN,2016,4.51,7.06,10.85,17.01,18.5,21.39,23.73,19.86,14.84,6.99,4.79,4.28,12.83,est
ALLSKY_SFC_SW_DWN,2017,5.3,7.72,11.24,16.18,20.72,23.23,21.99,20.96,15.06,8.96,4.21,3.51,13.29,est
ALLSKY_SFC_SW_DWN,2018,4.73,6.7,10.5,18.94,21.95,19.73,18.95,21.97,14.1,11.31,4.54,3.59,13.12,est
ALLSKY_SFC_SW_DWN,2019,4.29,7.91,13.56,14.84,17.99,23.4,21.73,20.53,15.6,9.82,4.81,4.06,13.24,est
ALLSKY_SFC_SW_DWN,2020,5.49,8.02,12.46,20.61,17.53,21.23,21.93,21.32,15.89,8.06,5.31,2.7,13.38,est
ALLSKY_SFC_SW_DWN,2021,3.98,7.52,11.31,14.71,18.84,19.29,22.7,19.85,13.95,10.41,5.82,3.07,12.65,est
ALLSKY_SFC_SW_DWN,2022,5.08,7.84,12.62,14.74,21.96,22.86,21.5,17.97,12.54,10.61,4.93,3.87,13.08,est
ALLSKY_SFC_SW_DWN,2023,3.78,7.35,11.9,12.12,20.0,20.64,22.07,20.12,15.75,10.46,5.31,3.81,12.81,est
ALLSKY_SFC_SW_DWN,2024,5.01,7.19,11.18,16.84,20.93,23.67,23.37,18.93,13.75,10.47,5.93,3.07,13.38,est
ALLSKY_SFC_SW_DWN,2025,5.54,8.26,11.14,17.04,16.85,24.53,22.5,21.6,15.0,7.83,4.57,3.48,13.21,est
GWETPROF,1984,0.44,0.47,0.53,0.55,0.57,0.54,0.49,0.45,0.42,0.41,0.42,0.45,0.48,est
GWETPROF,1985,0.46,0.5,0.5,0.48,0.46,0.47,0.48,0.43,0.4,0.39,0.4,0.43,0.45,est
GWETPROF,1986,0.44,0.45,0.48,0.46,0.42,0.42,0.42,0.4,0.38,0.38,0.39,0.39,0.42,est
GWETPROF,1987,0.39,0.41,0.41,0.43,0.43,0.43,0.41,0.4,0.38,0.39,0.42,0.47,0.41,est
GWETPROF,1988,0.48,0.5,0.53,0.57,0.54,0.55,0.47,0.41,0.42,0.42,0.42,0.44,0.48,est
GWETPROF,1989,0.45,0.44,0.45,0.44,0.44,0.43,0.42,0.41,0.47,0.46,0.46,0.45,0.44,est
GWETPROF,1990,0.45,0.45,0.44,0.43,0.42,0.42,0.39,0.37,0.36,0.37,0.38,0.39,0.41,est
GWETPROF,1991,0.41,0.42,0.42,0.42,0.43,0.45,0.47,0.48,0.46,0.46,0.46,0.46,0.45,est
GWETPROF,1992,0.47,0.46,0.47,0.47,0.44,0.45,0.42,0.39,0.39,0.41,0.42,0.42,0.43,est
GWETPROF,1993,0.43,0.42,0.45,0.51,0.5,0.47,0.43,0.4,0.41,0.41,0.42,0.46,0.44,est
GWETPROF,1994,0.5,0.5,0.49,0.46,0.44,0.44,0.41,0.39,0.38,0.4,0.41,0.42,0.44,est
GWETPROF,1995,0.44,0.46,0.46,0.46,0.45,0.42,0.41,0.39,0.42,0.43,0.44,0.46,0.44,est
GWETPROF,1996,0.49,0.51,0.53,0.54,0.5,0.44,0.42,0.41,0.45,0.48,0.48,0.53,0.48,est
GWETPROF,1997,0.54,0.54,0.53,0.54,0.5,0.47,0.44,0.45,0.46,0.46,0.46,0.5,0.49,est
GWETPROF,1998,0.53,0.54,0.53,0.5,0.49,0.46,0.43,0.39,0.41,0.47,0.48,0.49,0.48,est
GWETPROF,1999,0.5,0.51,0.51,0.52,0.49,0.43,0.41,0.4,0.42,0.42,0.43,0.45,0.46,est
GWETPROF,2000,0.46,0.48,0.48,0.46,0.43,0.39,0.39,0.38,0.39,0.38,0.38,0.39,0.42,est
