An,Judet,Specie_Pomi,Nr_Pomi,Tone_Totale,Kg_per_Pom
 Anul 2007, Bihor,Meri,1208586,1771,8
 Anul 2007, Bihor,Meri,1208586,1771,8
 Anul 2007, Bihor,Meri,1208586,1771,12
 Anul 2007, Bihor,Meri,1208586,1771,16
 Anul 2007, Bihor,Meri,1208586,2197,7
 Anul 2007, Bihor,Meri,1208586,2197,7
 Anul 2007, Bihor,Meri,1208586,2197,8
 Anul 2007, Bihor,Meri,1208586,2197,8
 Anul 2007, Bihor,Meri,1208586,2197,12
 Anul 2007, Bihor,Meri,1208586,2197,16
 Anul 2007, Bihor,Meri,1208586,1532,7
 Anul 2007, Bihor,Meri,1208586,1532,7
 Anul 2007, Bihor,Meri,1208586,1532,8
 Anul 2007, Bihor,Meri,1208586,1532,8
 Anul 2007, Bihor,Meri,1208586,1532,12
 Anul 2007, Bihor,Meri,1208586,1532,16
 Anul 2007, Bihor,Meri,1208586,264,7
 Anul 2007, Bihor,Meri,1208586,264,7
 Anul 2007, Bihor,Meri,1208586,264,8
 Anul 2007, Bihor,Meri,1208586,264,8
 Anul 2007, Bihor,Meri,1208586,264,12
 Anul 2007, Bihor,Meri,1208586,264,16
 Anul 2008, Bihor,Meri,803456,8092,9
 Anul 2008, Bihor,Meri,803456,8092,21
 Anul 2008, Bihor,Meri,803456,8092,13
 Anul 2008, Bihor,Meri,803456,8092,22
 Anul 2008, Bihor,Meri,803456,8092,13
 Anul 2008, Bihor,Meri,803456,8092,24
 Anul 2008, Bihor,Meri,803456,16663,9
 Anul 2008, Bihor,Meri,803456,16663,21
 Anul 2008, Bihor,Meri,803456,16663,13
 Anul 2008, Bihor,Meri,803456,16663,22
 Anul 2008, Bihor,Meri,803456,16663,13
 Anul 2008, Bihor,Meri,803456,16663,24
 Anul 2008, Bihor,Meri,803456,2303,9
 Anul 2008, Bihor,Meri,803456,2303,21
 Anul 2008, Bihor,Meri,803456,2303,13
 Anul 2008, Bihor,Meri,803456,2303,22
 Anul 2008, Bihor,Meri,803456,2303,13
 Anul 2008, Bihor,Meri,803456,2303,24
 Anul 2008, Bihor,Meri,803456,4871,9
 Anul 2008, Bihor,Meri,803456,4871,21
 Anul 2008, Bihor,Meri,803456,4871,13
 Anul 2008, Bihor,Meri,803456,4871,22
 Anul 2008, Bihor,Meri,803456,4871,13
 Anul 2008, Bihor,Meri,803456,4871,24
 Anul 2008, Bihor,Meri,803456,1767,9
 Anul 2008, Bihor,Meri,803456,1767,21
 Anul 2008, Bihor,Meri,803456,1767,13
