Specie,Judet,An,Numar_Pomi,Kg_pe_Pom,Tone_Totale,Rootstock_ID,lat,lon,puncte_valide,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_an,temp_min_an,temp_max_an,precipitatii_an,zile_inghet_an,radiatie_an,par_an,umiditate_an,evapotrans_an,cdd10_an,cdd0_an,hdd0_an,vant_an,umid_sol_sup_an,umid_sol_rad_an,temp_medie_iarna,temp_min_iarna,temp_max_iarna,precipitatii_iarna,zile_inghet_iarna,radiatie_iarna,umiditate_iarna,evapotrans_iarna,cdd10_iarna,umid_sol_sup_iarna,umid_sol_rad_iarna,temp_medie_primavara,temp_min_primavara,temp_max_primavara,precipitatii_primavara,zile_inghet_primavara,radiatie_primavara,umiditate_primavara,evapotrans_primavara,cdd10_primavara,umid_sol_sup_primavara,umid_sol_rad_primavara,temp_medie_vara,temp_min_vara,temp_max_vara,precipitatii_vara,zile_inghet_vara,radiatie_vara,umiditate_vara,evapotrans_vara,cdd10_vara,umid_sol_sup_vara,umid_sol_rad_vara,temp_medie_toamna,temp_min_toamna,temp_max_toamna,precipitatii_toamna,zile_inghet_toamna,radiatie_toamna,umiditate_toamna,evapotrans_toamna,cdd10_toamna,umid_sol_sup_toamna,umid_sol_rad_toamna
Mere,Alba,2020,431779.0,27.0,11620.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.43,-8.36,32.95,853.5,107.0,4648.1,2055.0,75.1,524.0,1434.1,4005.8,69.6,1.67,0.597,0.577,0.26,-8.09,15.14,53.0,51.0,359.0,80.26,0.9,0.0,0.562,0.552,9.48,-5.4,28.55,177.2,21.0,1525.8,67.73,82.1,151.0,0.585,0.57,20.15,4.94,32.95,397.9,0.0,1819.0,71.79,398.5,925.4,0.621,0.595,11.32,-5.38,31.71,180.0,14.0,834.4,77.53,42.4,357.7,0.582,0.561
Mere,Alba,2021,528111.0,26.0,13850.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,9.99,-12.82,35.88,706.3,118.0,4726.4,2081.6,73.59,390.3,1415.9,3869.4,125.6,1.7,0.61,0.593,0.27,-12.82,16.19,82.0,44.0,319.3,86.05,1.3,0.5,0.764,0.719,7.72,-6.3,25.2,226.9,34.0,1426.9,75.81,140.2,128.0,0.742,0.701,21.65,7.7,35.88,223.9,0.0,1968.1,61.94,230.3,1054.4,0.517,0.519,10.09,-2.49,28.13,97.6,13.0,926.9,69.7,18.4,233.0,0.476,0.487
Mere,Alba,2022,544246.0,22.0,11957.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.99,-14.64,37.17,635.5,112.0,4834.7,2135.8,71.43,265.3,1657.1,4235.0,118.2,1.75,0.575,0.56,-0.39,-14.64,13.8,35.9,53.0,358.0,83.53,0.7,0.0,0.663,0.626,9.02,-9.03,28.36,174.3,33.0,1514.7,67.81,108.8,218.3,0.611,0.588,22.75,10.48,37.17,192.9,0.0,2048.8,55.29,83.8,1160.8,0.446,0.466,11.38,-2.26,26.84,201.0,7.0,793.5,78.83,71.7,278.0,0.581,0.562
Mere,Alba,2023,608501.0,20.0,12280.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,11.42,-12.08,36.49,779.9,89.0,4552.3,2029.9,75.13,451.3,1666.2,4342.2,75.1,1.88,0.635,0.617,1.22,-12.08,14.65,154.0,41.0,328.8,88.06,0.8,0.4,0.781,0.742,9.23,-4.04,22.67,156.5,20.0,1306.5,77.22,124.9,148.5,0.765,0.73,21.62,9.59,36.49,276.6,0.0,1901.2,66.6,299.4,1055.2,0.561,0.552,12.99,-6.23,32.2,161.6,11.0,901.6,69.52,26.0,460.8,0.492,0.494
Mere,Alba,2024,591711.0,20.0,11865.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,12.34,-9.99,38.12,596.7,88.0,4885.7,2171.0,69.23,269.5,1955.7,4689.5,44.8,1.74,0.54,0.537,2.72,-9.99,17.71,71.5,34.0,359.5,81.33,3.7,4.6,0.665,0.629,11.85,-3.17,27.26,187.5,5.0,1495.1,71.11,133.6,287.9,0.631,0.604,24.29,10.95,38.12,181.8,0.0,2021.8,55.02,120.2,1306.4,0.448,0.473,11.14,-5.05,31.73,129.6,19.0,903.8,67.43,11.7,356.9,0.458,0.475
Mere,Arad,2000,1038309.0,7.0,7781.0,Semipitic,46.17,21.32,8,6.612,46.033,18.642,35.317,23.525,2.699,29.296,12.57,-20.67,39.98,251.9,97.0,4909.9,2381.4,63.41,149.7,2113.5,4831.0,142.4,2.26,0.446,0.488,-1.25,-20.67,12.88,34.6,55.0,397.6,86.99,0.8,0.0,0.66,0.63,12.29,-5.43,31.59,111.0,24.0,1554.1,68.2,132.2,401.4,0.59,0.583,23.97,9.01,39.98,38.4,0.0,2020.0,39.89,16.7,1260.9,0.303,0.41,13.85,-1.21,30.89,33.3,2.0,834.4,59.61,0.0,451.2,0.316,0.4
Mere,Arad,2001,1010597.0,8.0,7194.0,Semipitic,46.17,21.32,8,6.612,46.033,18.642,35.317,23.525,2.699,29.296,11.59,-14.79,38.08,570.9,102.0,4548.5,2015.4,68.25,178.9,1829.2,4477.5,154.2,2.22,0.469,0.485,2.14,-7.59,16.79,49.0,42.0,359.0,77.22,1.0,0.4,0.458,0.473,12.75,-2.11,31.72,151.0,9.0,1494.9,64.19,70.2,350.3,0.493,0.508,22.53,7.23,38.08,186.5,0.0,1832.0,55.9,88.5,1131.0,0.436,0.463,10.97,-4.7,28.66,161.8,20.0,763.9,72.4,18.9,347.6,0.465,0.478
Mere,Arad,2002,958187.0,11.0,10263.0,Semipitic,46.17,21.32,8,6.612,46.033,18.642,35.317,23.525,2.699,29.296,12.4,-15.49,38.41,435.2,86.0,4612.7,2034.9,66.9,99.6,1994.5,4771.1,164.2,2.15,0.472,0.489,0.85,-15.49,16.06,29.2,41.0,336.2,85.81,2.1,2.0,0.564,0.558,13.14,-3.12,31.84,71.8,14.0,1547.5,59.39,41.8,402.4,0.479,0.499,23.69,8.78,38.41,160.3,0.0,1875.0,52.72,47.3,1242.2,0.413,0.44,12.27,-2.65,30.97,131.7,7.0,765.1,70.14,8.1,347.9,0.44,0.466
Mere,Arad,2003,1061923.0,20.0,21101.0,Semipitic,46.17,21.32,8,6.612,46.033,18.642,35.317,23.525,2.699,29.296,11.21,-23.47,37.78,503.8,130.0,4958.2,2190.2,69.56,159.6,1986.3,4410.1,247.9,1.98,0.522,0.527,-3.88,-23.47,9.08,92.2,59.0,385.1,91.1,0.1,0.0,0.657,0.623,11.44,-5.81,32.25,85.0,30.0,1588.2,68.27,111.9,365.7,0.58,0.575,24.71,11.45,37.78,102.7,0.0,2005.9,46.89,32.7,1327.4,0.373,0.426,10.93,-4.62,30.89,193.7,13.0,851.3,73.65,14.5,293.1,0.502,0.505
Mere,Arad,2004,1187457.0,37.0,44501.0,Semipitic,46.17,21.32,8,6.612,46.033,18.642,35.317,23.525,2.699,29.296,10.91,-13.86,38.32,731.9,102.0,4626.9,2048.2,74.61,356.7,1659.6,4220.4,171.5,2.15,0.582,0.572,-1.63,-13.86,12.68,103.2,53.0,326.9,87.43,0.4,0.0,0.665,0.63,10.38,-6.49,26.51,175.2,17.0,1413.7,76.9,170.9,214.1,0.671,0.642,22.06,10.1,38.32,212.5,0.0,1959.6,59.14,158.7,1086.0,0.47,0.49,11.9,-4.69,31.05,195.4,9.0,834.7,73.92,26.4,359.2,0.519,0.523
