Specie,Judet,An,Numar_Pomi,Kg_pe_Pom,Tone_Totale
Mere, Botosani,2005,1133374.0,21.0,24751.0
Mere, Botosani,2006,697537.0,21.0,14736.0
Mere, Botosani,2007,708378.0,11.0,7510.0
Mere, Botosani,2008,717057.0,15.0,10536.0
Mere, Botosani,2009,719730.0,19.0,13881.0
Mere, Botosani,2010,609087.0,32.0,19231.0
Mere, Botosani,2011,680879.0,30.0,20196.0
Mere, Botosani,2012,737061.0,21.0,15542.0
Mere, Botosani,2013,766535.0,23.0,17457.0
Mere, Botosani,2014,683215.0,21.0,14120.0
Mere, Botosani,2015,251980.0,50.0,12628.0
Mere, Botosani,2016,242052.0,47.0,11393.0
Mere, Botosani,2017,235576.0,54.0,12755.0
Mere, Botosani,2018,250115.0,58.0,14617.0
Mere, Botosani,2019,283096.0,41.0,11696.0
Mere, Botosani,2020,272934.0,40.0,10960.0
Mere, Botosani,2021,285397.0,45.0,12820.0
Mere, Botosani,2022,278955.0,40.0,11134.0
Mere, Botosani,2023,280695.0,35.0,9928.0
Mere, Botosani,2024,320311.0,31.0,10088.0
Mere, Braila,2000,121584.0,6.0,710.0
Mere, Braila,2001,133919.0,11.0,2117.0
Mere, Braila,2002,113896.0,7.0,778.0
Mere, Braila,2003,110433.0,11.0,1223.0
Mere, Braila,2004,99947.0,15.0,1467.0
Mere, Braila,2005,57165.0,3.0,275.0
Mere, Braila,2006,107716.0,20.0,2108.0
Mere, Braila,2007,46976.0,9.0,440.0
Mere, Braila,2008,95785.0,12.0,1183.0
Mere, Braila,2009,72002.0,16.0,1139.0
Mere, Braila,2010,77028.0,17.0,1275.0
Mere, Braila,2011,90586.0,20.0,1822.0
Mere, Braila,2012,74170.0,14.0,1018.0
Mere, Braila,2013,82832.0,20.0,1644.0
Mere, Braila,2014,89617.0,19.0,1734.0
Mere, Braila,2015,65487.0,20.0,1306.0
Mere, Braila,2016,61561.0,20.0,1239.0
Mere, Braila,2017,61885.0,12.0,745.0
Mere, Braila,2018,72425.0,18.0,1305.0
Mere, Braila,2019,107006.0,10.0,1027.0
Mere, Braila,2020,107472.0,11.0,1192.0
Mere, Braila,2021,60597.0,9.0,559.0
Mere, Braila,2022,61916.0,9.0,548.0
Mere, Braila,2023,54669.0,8.0,422.0
Mere, Braila,2024,53042.0,10.0,532.0
Mere, Brasov,2000,723331.0,6.0,4151.0
Mere, Brasov,2001,722911.0,4.0,2722.0
Mere, Brasov,2002,678955.0,7.0,4604.0
Mere, Brasov,2003,682746.0,10.0,6549.0
Mere, Brasov,2004,559192.0,38.0,21084.0
Mere, Brasov,2005,1086375.0,3.0,3546.0
Mere, Brasov,2006,723437.0,7.0,5425.0
Mere, Brasov,2007,576174.0,5.0,2813.0
Mere, Brasov,2008,106816.0,13.0,1370.0
Mere, Brasov,2009,109873.0,11.0,1195.0
Mere, Brasov,2010,156054.0,9.0,1364.0
Mere, Brasov,2011,572569.0,8.0,4312.0
Mere, Brasov,2012,548311.0,6.0,3041.0
Mere, Brasov,2013,544279.0,6.0,3153.0
Mere, Brasov,2014,541040.0,6.0,3240.0
Mere, Brasov,2015,530027.0,4.0,2158.0
Mere, Brasov,2016,544117.0,7.0,3604.0
Mere, Brasov,2017,542052.0,7.0,3953.0
Mere, Brasov,2018,529714.0,10.0,5085.0
Mere, Brasov,2019,529712.0,8.0,4419.0
Mere, Brasov,2020,526921.0,21.0,11043.0
Mere, Brasov,2021,553582.0,20.0,11146.0
Mere, Brasov,2022,531149.0,11.0,6036.0
Mere, Brasov,2023,609603.0,12.0,7353.0
Mere, Brasov,2024,627889.0,10.0,6464.0
Mere, Buzau,2000,864126.0,9.0,7894.0
Mere, Buzau,2001,856545.0,22.0,15854.0
Mere, Buzau,2002,842407.0,6.0,4770.0
Mere, Buzau,2003,724275.0,32.0,23061.0
Mere, Buzau,2004,753808.0,12.0,8967.0
Mere, Buzau,2005,743436.0,28.0,21124.0
Mere, Buzau,2006,590786.0,21.0,12400.0
Mere, Buzau,2007,765021.0,21.0,16045.0
Mere, Buzau,2008,760784.0,13.0,9654.0
Mere, Buzau,2009,684045.0,10.0,6909.0
Mere, Buzau,2010,726483.0,27.0,19880.0
Mere, Buzau,2011,692000.0,30.0,20949.0
Mere, Buzau,2012,697176.0,19.0,13167.0
Mere, Buzau,2013,686685.0,23.0,16042.0
Mere, Buzau,2014,691698.0,23.0,15970.0
Mere, Buzau,2015,691302.0,21.0,14339.0
Mere, Buzau,2016,703838.0,19.0,13556.0
Mere, Buzau,2017,706476.0,10.0,7367.0
Mere, Buzau,2018,685082.0,26.0,17581.0
Mere, Buzau,2019,689408.0,22.0,15443.0
Mere, Buzau,2020,694252.0,21.0,14857.0
Mere, Buzau,2021,685095.0,30.0,20743.0
Mere, Buzau,2022,684296.0,25.0,16809.0
Mere, Buzau,2023,668247.0,25.0,16640.0
Mere, Buzau,2024,671283.0,21.0,13817.0
Mere, Calarasi,2000,61003.0,14.0,861.0
Mere, Calarasi,2001,47613.0,18.0,762.0
Mere, Calarasi,2002,56086.0,11.0,620.0
Mere, Calarasi,2003,51234.0,19.0,966.0
Mere, Calarasi,2004,62897.0,17.0,1079.0
Mere, Calarasi,2005,50866.0,15.0,1200.0
Mere, Calarasi,2006,37891.0,13.0,483.0
Mere, Calarasi,2007,49303.0,1.0,62.0
Mere, Calarasi,2008,95895.0,6.0,564.0
Mere, Calarasi,2009,57246.0,8.0,458.0
Mere, Calarasi,2010,63740.0,10.0,661.0
Mere, Calarasi,2011,43791.0,16.0,680.0
Mere, Calarasi,2012,42451.0,15.0,634.0
Mere, Calarasi,2013,68690.0,12.0,832.0
Mere, Calarasi,2014,48837.0,15.0,753.0
Mere, Calarasi,2015,56359.0,13.0,738.0
Mere, Calarasi,2016,56201.0,13.0,729.0
Mere, Calarasi,2017,55247.0,13.0,737.0
Mere, Calarasi,2018,40288.0,22.0,886.0
Mere, Calarasi,2019,41133.0,19.0,790.0
Mere, Calarasi,2020,39775.0,19.0,745.0
Mere, Calarasi,2021,38847.0,20.0,796.0
Mere, Calarasi,2022,39005.0,19.0,729.0
Mere, Calarasi,2023,102804.0,10.0,1029.0
Mere, Calarasi,2024,73137.0,9.0,690.0
Mere, Caras-Severin,2000,1167380.0,12.0,13719.0
Mere, Caras-Severin,2001,1148461.0,21.0,21245.0
Mere, Caras-Severin,2002,1148446.0,7.0,7527.0
Mere, Caras-Severin,2003,1061431.0,29.0,30978.0
Mere, Caras-Severin,2004,1162331.0,16.0,18044.0
Mere, Caras-Severin,2005,1047013.0,16.0,17164.0
Mere, Caras-Severin,2006,899625.0,14.0,12581.0
Mere, Caras-Severin,2007,913966.0,14.0,13190.0
Mere, Caras-Severin,2008,740354.0,12.0,8836.0
Mere, Caras-Severin,2009,721177.0,10.0,7127.0
Mere, Caras-Severin,2010,698109.0,9.0,6349.0
Mere, Caras-Severin,2011,882958.0,10.0,9158.0
Mere, Caras-Severin,2012,919152.0,8.0,7308.0
Mere, Caras-Severin,2013,1070450.0,9.0,9692.0
Mere, Caras-Severin,2014,881678.0,9.0,8240.0
Mere, Caras-Severin,2015,846373.0,9.0,7982.0
Mere, Caras-Severin,2016,842142.0,8.0,6753.0
Mere, Caras-Severin,2017,841766.0,9.0,7468.0
Mere, Caras-Severin,2018,827608.0,20.0,16566.0
Mere, Caras-Severin,2019,832416.0,17.0,13894.0
Mere, Caras-Severin,2020,830727.0,16.0,13533.0
Mere, Caras-Severin,2021,843002.0,17.0,13996.0
Mere, Caras-Severin,2022,849136.0,14.0,11878.0
Mere, Caras-Severin,2023,870708.0,13.0,11336.0
Mere, Caras-Severin,2024,907581.0,13.0,11654.0
Mere, Cluj,2000,2847271.0,13.0,38159.0
Mere, Cluj,2001,2651648.0,13.0,31650.0
Mere, Cluj,2002,2614623.0,15.0,38462.0
Mere, Cluj,2003,2491670.0,18.0,44229.0
Mere, Cluj,2004,2460792.0,16.0,39459.0
Mere, Cluj,2005,2273645.0,9.0,22736.0
Mere, Cluj,2006,1939054.0,11.0,21747.0
Mere, Cluj,2007,785003.0,5.0,3568.0
Mere, Cluj,2008,731202.0,8.0,5573.0
Mere, Cluj,2009,601232.0,17.0,10173.0
Mere, Cluj,2010,427352.0,11.0,4847.0
Mere, Cluj,2011,438586.0,18.0,8088.0
Mere, Cluj,2012,502119.0,11.0,5511.0
Mere, Cluj,2013,513229.0,15.0,7955.0
Mere, Cluj,2014,509236.0,14.0,7328.0
Mere, Cluj,2015,443917.0,16.0,7017.0
Mere, Cluj,2016,422136.0,17.0,7294.0
Mere, Cluj,2017,419025.0,14.0,5782.0
Mere, Cluj,2018,426820.0,22.0,9545.0
Mere, Cluj,2019,498399.0,17.0,8368.0
Mere, Cluj,2020,478512.0,16.0,7735.0
Mere, Cluj,2021,391444.0,21.0,8087.0
Mere, Cluj,2022,532271.0,16.0,8604.0
Mere, Cluj,2023,472819.0,16.0,7588.0
Mere, Cluj,2024,595389.0,14.0,8309.0
Mere, Constanta,2000,307559.0,5.0,1680.0
Mere, Constanta,2001,303345.0,15.0,2154.0
Mere, Constanta,2002,315102.0,9.0,2815.0
Mere, Constanta,2003,233804.0,12.0,2747.0
Mere, Constanta,2004,142125.0,42.0,6017.0
Mere, Constanta,2005,264596.0,10.0,3011.0
Mere, Constanta,2006,169204.0,13.0,2127.0
Mere, Constanta,2007,215103.0,9.0,1952.0
Mere, Constanta,2008,127602.0,9.0,1161.0
Mere, Constanta,2009,81090.0,8.0,613.0
Mere, Constanta,2010,114486.0,5.0,530.0
Mere, Constanta,2011,118532.0,8.0,931.0
Mere, Constanta,2012,120432.0,5.0,638.0
Mere, Constanta,2013,69555.0,9.0,640.0
Mere, Constanta,2014,121940.0,8.0,927.0
Mere, Constanta,2015,64487.0,8.0,547.0
Mere, Constanta,2016,47383.0,8.0,390.0
Mere, Constanta,2017,47013.0,11.0,503.0
Mere, Constanta,2018,41074.0,19.0,772.0
Mere, Constanta,2019,41748.0,17.0,696.0
Mere, Constanta,2020,40586.0,17.0,677.0
Mere, Constanta,2021,41054.0,16.0,670.0
Mere, Constanta,2022,39820.0,15.0,587.0
Mere, Constanta,2023,42069.0,13.0,555.0
Mere, Constanta,2024,42097.0,13.0,530.0
Mere, Covasna,2000,276210.0,10.0,2718.0
Mere, Covasna,2001,255387.0,19.0,4049.0
Mere, Covasna,2002,261959.0,18.0,4840.0
Mere, Covasna,2003,261072.0,53.0,13845.0
Mere, Covasna,2004,257313.0,52.0,13264.0
Mere, Covasna,2005,234050.0,23.0,5803.0
Mere, Covasna,2006,237059.0,21.0,5029.0
Mere, Covasna,2007,320120.0,21.0,6628.0
Mere, Covasna,2008,258970.0,41.0,10536.0
Mere, Covasna,2009,258497.0,18.0,4710.0
Mere, Covasna,2010,256456.0,18.0,4518.0
Mere, Covasna,2011,257086.0,22.0,5645.0
Mere, Covasna,2012,259651.0,11.0,2980.0
Mere, Covasna,2013,258783.0,10.0,2685.0
Mere, Covasna,2014,254377.0,14.0,3556.0
Mere, Covasna,2015,242862.0,12.0,2803.0
Mere, Covasna,2016,243226.0,12.0,2905.0
Mere, Covasna,2017,242071.0,12.0,2843.0
Mere, Covasna,2018,242234.0,18.0,4260.0
Mere, Covasna,2019,242397.0,16.0,3952.0
Mere, Covasna,2020,242037.0,16.0,3800.0
Mere, Covasna,2021,242334.0,19.0,4491.0
Mere, Covasna,2022,242030.0,17.0,4172.0
Mere, Covasna,2023,243067.0,17.0,4138.0
Mere, Covasna,2024,242620.0,16.0,3962.0
Mere, Dambovita,2000,1566406.0,27.0,41884.0
Mere, Dambovita,2001,1535726.0,32.0,47632.0
Mere, Dambovita,2002,1637530.0,21.0,33962.0
