Judet,An,Kg_pe_Pom,Rootstock_ID,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_vara,precipitatii_vara,umid_sol_rad_vara,temp_medie_an,precipitatii_an,cdd10_an,precipitatii_toamna,temp_medie_toamna,umid_sol_rad_toamna,zile_inghet_toamna,temp_min_iarna,zile_inghet_iarna
Arges,2016,29.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.43,234.7,0.6,10.26,841.8,1536.3,249.6,9.57,0.622,27.0,-16.46,42.0
Arges,2017,10.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.83,238.2,0.573,10.42,821.3,1580.6,235.6,10.98,0.577,10.0,-18.92,53.0
Arges,2018,50.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.12,368.5,0.619,10.63,819.5,1749.4,72.9,11.47,0.493,13.0,-15.98,52.0
Arges,2019,21.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,22.1,260.2,0.58,11.52,702.6,1719.6,130.2,13.27,0.503,5.0,-12.37,53.0
Arges,2020,30.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.1,270.9,0.583,11.21,798.6,1593.1,199.0,11.99,0.591,10.0,-7.79,53.0
Arges,2021,35.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.86,241.4,0.596,10.07,789.7,1430.4,89.1,10.06,0.54,14.0,-18.64,44.0
Arges,2022,31.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,22.98,192.8,0.523,11.32,594.9,1740.8,144.5,11.89,0.559,7.0,-11.63,48.0
Arges,2023,31.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,22.25,221.1,0.561,11.82,655.7,1789.0,116.7,13.63,0.494,11.0,-13.2,39.0
Arges,2024,27.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,24.84,148.4,0.508,12.64,599.7,2042.6,165.1,11.66,0.532,22.0,-10.47,33.0
Bacau,2000,15.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,21.18,118.8,0.379,9.95,304.2,1510.1,60.8,10.12,0.378,8.0,-19.49,58.0
Bacau,2001,16.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,21.44,149.8,0.39,9.3,439.1,1514.8,141.3,9.11,0.41,27.0,-11.03,51.0
Bacau,2002,18.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.92,182.6,0.403,9.55,439.5,1460.1,128.4,9.07,0.42,16.0,-15.39,50.0
Bacau,2003,24.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.82,191.5,0.406,8.45,466.3,1458.2,120.1,8.41,0.422,21.0,-19.59,59.0
Bacau,2004,61.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,19.73,247.8,0.428,8.74,607.0,1258.0,125.7,9.64,0.445,18.0,-18.61,56.0
Bacau,2005,23.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,18.8,390.1,0.519,8.4,830.9,1195.2,119.3,8.92,0.469,20.0,-20.19,56.0
Bacau,2006,21.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,19.46,297.4,0.475,8.63,623.5,1256.2,68.8,10.3,0.434,15.0,-23.97,58.0
Bacau,2007,33.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,22.76,179.8,0.393,10.27,622.8,1619.1,196.7,8.24,0.465,24.0,-13.21,50.0
Bacau,2008,16.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.61,229.6,0.444,9.6,639.4,1338.5,124.5,9.36,0.436,22.0,-19.44,54.0
Bacau,2009,19.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.68,218.2,0.428,9.48,583.1,1452.6,115.2,10.5,0.42,10.0,-15.84,49.0
Bacau,2010,19.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.58,377.8,0.523,8.65,855.0,1320.4,147.0,9.21,0.478,16.0,-24.94,55.0
Bacau,2011,17.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.25,236.4,0.442,8.77,500.0,1391.7,55.0,8.83,0.397,35.0,-13.78,56.0
Bacau,2012,15.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,23.14,112.6,0.4,9.45,588.3,1808.8,96.0,11.2,0.399,17.0,-22.97,60.0
Bacau,2013,11.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,19.91,272.4,0.46,9.34,618.4,1396.4,91.7,9.95,0.424,15.0,-16.13,59.0
Bacau,2014,17.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,19.85,223.0,0.453,9.36,703.9,1357.6,127.5,9.03,0.417,20.0,-21.0,47.0
Bacau,2015,9.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,21.94,159.6,0.404,10.19,552.2,1593.4,194.1,10.32,0.432,18.0,-16.29,53.0
Bacau,2016,10.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,20.99,232.8,0.465,9.71,824.9,1457.5,299.4,8.69,0.518,29.0,-14.58,52.0
Bacau,2017,10.0,4,6.604,39.65,22.271,38.087,27.804,2.733,26.425,21.06,188.9,0.444,9.54,615.8,1461.5,149.6,10.09,0.422,13.0,-16.0,53.0
