Area,Element,Year,Unit,Value
Belgium,Yield,2014,hg/ha,448451.0
Belgium,Yield,2015,hg/ha,413999.0
Belgium,Yield,2016,hg/ha,367037.0
Belgium,Yield,2017,hg/ha,139903.0
Belgium,Yield,2018,hg/ha,386144.0
Belgium,Yield,2019,hg/ha,447229.0
Belgium,Production,2005,tonnes,324960.0
Belgium,Production,2006,tonnes,357500.0
Belgium,Production,2007,tonnes,358000.0
Belgium,Production,2008,tonnes,335000.0
Belgium,Production,2009,tonnes,310600.0
Belgium,Production,2010,tonnes,343980.0
Belgium,Production,2011,tonnes,228405.0
Belgium,Production,2012,tonnes,220400.0
Belgium,Production,2013,tonnes,228900.0
Belgium,Production,2014,tonnes,318400.0
Belgium,Production,2015,tonnes,284210.0
Belgium,Production,2016,tonnes,238244.0
Belgium,Production,2017,tonnes,86236.0
Belgium,Production,2018,tonnes,231300.0
Belgium,Production,2019,tonnes,259840.0
Bhutan,Area harvested,2005,ha,2400.0
Bhutan,Area harvested,2006,ha,1800.0
Bhutan,Area harvested,2007,ha,1850.0
Bhutan,Area harvested,2008,ha,1500.0
Bhutan,Area harvested,2009,ha,1900.0
Bhutan,Area harvested,2010,ha,2094.0
Bhutan,Area harvested,2011,ha,2050.0
Bhutan,Area harvested,2012,ha,900.0
Bhutan,Area harvested,2013,ha,1000.0
Bhutan,Area harvested,2014,ha,1100.0
Bhutan,Area harvested,2015,ha,700.0
Bhutan,Area harvested,2016,ha,849.0
Bhutan,Area harvested,2017,ha,950.0
Bhutan,Area harvested,2018,ha,766.0
Bhutan,Area harvested,2019,ha,725.0
Bhutan,Yield,2005,hg/ha,43421.0
Bhutan,Yield,2006,hg/ha,41150.0
Bhutan,Yield,2007,hg/ha,38249.0
Bhutan,Yield,2008,hg/ha,33587.0
Bhutan,Yield,2009,hg/ha,34332.0
Bhutan,Yield,2010,hg/ha,82932.0
Bhutan,Yield,2011,hg/ha,101229.0
Bhutan,Yield,2012,hg/ha,85178.0
Bhutan,Yield,2013,hg/ha,78300.0
Bhutan,Yield,2014,hg/ha,72673.0
Bhutan,Yield,2015,hg/ha,75829.0
Bhutan,Yield,2016,hg/ha,77585.0
Bhutan,Yield,2017,hg/ha,84621.0
Bhutan,Yield,2018,hg/ha,48094.0
Bhutan,Yield,2019,hg/ha,59600.0
Bhutan,Production,2005,tonnes,10421.0
Bhutan,Production,2006,tonnes,7407.0
Bhutan,Production,2007,tonnes,7076.0
Bhutan,Production,2008,tonnes,5038.0
Bhutan,Production,2009,tonnes,6523.0
Bhutan,Production,2010,tonnes,17366.0
Bhutan,Production,2011,tonnes,20752.0
Bhutan,Production,2012,tonnes,7666.0
Bhutan,Production,2013,tonnes,7830.0
Bhutan,Production,2014,tonnes,7994.0
Bhutan,Production,2015,tonnes,5308.0
Bhutan,Production,2016,tonnes,6587.0
Bhutan,Production,2017,tonnes,8039.0
Bhutan,Production,2018,tonnes,3684.0
Bhutan,Production,2019,tonnes,4321.0
Bolivia (Plurinational State of),Area harvested,2005,ha,900.0
Bolivia (Plurinational State of),Area harvested,2006,ha,500.0
Bolivia (Plurinational State of),Area harvested,2007,ha,495.0
Bolivia (Plurinational State of),Area harvested,2008,ha,505.0
Bolivia (Plurinational State of),Area harvested,2009,ha,501.0
Bolivia (Plurinational State of),Area harvested,2010,ha,501.0
Bolivia (Plurinational State of),Area harvested,2011,ha,504.0
Bolivia (Plurinational State of),Area harvested,2012,ha,512.0
Bolivia (Plurinational State of),Area harvested,2013,ha,534.0
Bolivia (Plurinational State of),Area harvested,2014,ha,676.0
Bolivia (Plurinational State of),Area harvested,2015,ha,687.0
Bolivia (Plurinational State of),Area harvested,2016,ha,692.0
Bolivia (Plurinational State of),Area harvested,2017,ha,732.0
Bolivia (Plurinational State of),Area harvested,2018,ha,734.0
Bolivia (Plurinational State of),Area harvested,2019,ha,753.0
Bolivia (Plurinational State of),Yield,2005,hg/ha,44444.0
Bolivia (Plurinational State of),Yield,2006,hg/ha,40000.0
Bolivia (Plurinational State of),Yield,2007,hg/ha,39616.0
Bolivia (Plurinational State of),Yield,2008,hg/ha,40099.0
Bolivia (Plurinational State of),Yield,2009,hg/ha,38782.0
Bolivia (Plurinational State of),Yield,2010,hg/ha,39701.0
Bolivia (Plurinational State of),Yield,2011,hg/ha,39960.0
Bolivia (Plurinational State of),Yield,2012,hg/ha,39551.0
Bolivia (Plurinational State of),Yield,2013,hg/ha,38521.0
Bolivia (Plurinational State of),Yield,2014,hg/ha,35784.0
Bolivia (Plurinational State of),Yield,2015,hg/ha,36710.0
Bolivia (Plurinational State of),Yield,2016,hg/ha,37254.0
Bolivia (Plurinational State of),Yield,2017,hg/ha,37582.0
Bolivia (Plurinational State of),Yield,2018,hg/ha,38215.0
Bolivia (Plurinational State of),Yield,2019,hg/ha,38924.0
Bolivia (Plurinational State of),Production,2005,tonnes,4000.0
Bolivia (Plurinational State of),Production,2006,tonnes,2000.0
Bolivia (Plurinational State of),Production,2007,tonnes,1961.0
Bolivia (Plurinational State of),Production,2008,tonnes,2025.0
Bolivia (Plurinational State of),Production,2009,tonnes,1943.0
Bolivia (Plurinational State of),Production,2010,tonnes,1989.0
Bolivia (Plurinational State of),Production,2011,tonnes,2014.0
Bolivia (Plurinational State of),Production,2012,tonnes,2025.0
Bolivia (Plurinational State of),Production,2013,tonnes,2057.0
Bolivia (Plurinational State of),Production,2014,tonnes,2419.0
Bolivia (Plurinational State of),Production,2015,tonnes,2522.0
Bolivia (Plurinational State of),Production,2016,tonnes,2578.0
Bolivia (Plurinational State of),Production,2017,tonnes,2751.0
Bolivia (Plurinational State of),Production,2018,tonnes,2805.0
Bolivia (Plurinational State of),Production,2019,tonnes,2931.0
Bosnia and Herzegovina,Area harvested,2005,ha,14309.0
Bosnia and Herzegovina,Area harvested,2006,ha,15548.0
Bosnia and Herzegovina,Area harvested,2007,ha,16000.0
Bosnia and Herzegovina,Area harvested,2008,ha,15000.0
Bosnia and Herzegovina,Area harvested,2009,ha,20000.0
Bosnia and Herzegovina,Area harvested,2010,ha,19885.0
Bosnia and Herzegovina,Area harvested,2011,ha,23243.0
Bosnia and Herzegovina,Area harvested,2012,ha,15027.0
Bosnia and Herzegovina,Area harvested,2013,ha,25640.0
Bosnia and Herzegovina,Area harvested,2014,ha,13708.0
Bosnia and Herzegovina,Area harvested,2015,ha,28549.0
Bosnia and Herzegovina,Area harvested,2016,ha,21534.0
Bosnia and Herzegovina,Area harvested,2017,ha,16344.0
Bosnia and Herzegovina,Area harvested,2018,ha,35306.0
Bosnia and Herzegovina,Area harvested,2019,ha,30934.0
Bosnia and Herzegovina,Yield,2005,hg/ha,36467.0
Bosnia and Herzegovina,Yield,2006,hg/ha,37374.0
Bosnia and Herzegovina,Yield,2007,hg/ha,38101.0
Bosnia and Herzegovina,Yield,2008,hg/ha,34631.0
Bosnia and Herzegovina,Yield,2009,hg/ha,35754.0
Bosnia and Herzegovina,Yield,2010,hg/ha,36037.0
Bosnia and Herzegovina,Yield,2011,hg/ha,32411.0
Bosnia and Herzegovina,Yield,2012,hg/ha,33289.0
Bosnia and Herzegovina,Yield,2013,hg/ha,33197.0
Bosnia and Herzegovina,Yield,2014,hg/ha,32678.0
Bosnia and Herzegovina,Yield,2015,hg/ha,32040.0
Bosnia and Herzegovina,Yield,2016,hg/ha,32071.0
Bosnia and Herzegovina,Yield,2017,hg/ha,31970.0
Bosnia and Herzegovina,Yield,2018,hg/ha,31868.0
Bosnia and Herzegovina,Yield,2019,hg/ha,31766.0
Bosnia and Herzegovina,Production,2005,tonnes,52181.0
Bosnia and Herzegovina,Production,2006,tonnes,58109.0
Bosnia and Herzegovina,Production,2007,tonnes,60962.0
Bosnia and Herzegovina,Production,2008,tonnes,51946.0
Bosnia and Herzegovina,Production,2009,tonnes,71507.0
Bosnia and Herzegovina,Production,2010,tonnes,71659.0
Bosnia and Herzegovina,Production,2011,tonnes,75334.0
Bosnia and Herzegovina,Production,2012,tonnes,50023.0
Bosnia and Herzegovina,Production,2013,tonnes,85117.0
Bosnia and Herzegovina,Production,2014,tonnes,44795.0
Bosnia and Herzegovina,Production,2015,tonnes,91471.0
Bosnia and Herzegovina,Production,2016,tonnes,69062.0
Bosnia and Herzegovina,Production,2017,tonnes,52252.0
Bosnia and Herzegovina,Production,2018,tonnes,112513.0
Bosnia and Herzegovina,Production,2019,tonnes,98265.0
Brazil,Area harvested,2005,ha,35493.0
Brazil,Area harvested,2006,ha,36107.0
Brazil,Area harvested,2007,ha,37832.0
Brazil,Area harvested,2008,ha,38072.0
Brazil,Area harvested,2009,ha,38205.0
Brazil,Area harvested,2010,ha,38723.0
Brazil,Area harvested,2011,ha,38077.0
Brazil,Area harvested,2012,ha,38688.0
Brazil,Area harvested,2013,ha,38284.0
Brazil,Area harvested,2014,ha,37041.0
